1.274	4.152	1.599
1.228	4.054	1.694
1.203	4.035	1.724
1.243	4.052	1.675
1.299	4.149	1.551
1.35	4.215	1.516
1.353	4.271	1.56
1.386	4.393	1.543
1.407	4.477	1.65
1.506	4.601	1.724
1.622	4.784	1.774
1.683	4.988	1.901
1.759	5.085	2.052
1.771	5.193	2.205
1.764	5.119	2.352
1.778	4.888	2.532
1.95	4.589	2.76
2.003	4.749	2.431
2.15	4.896	2.154
2.3	5.021	1.998
2.486	5.119	1.854
2.64	5.215	1.729
2.755	5.282	1.616
2.835	5.352	1.49
2.904	5.336	1.365
2.946	5.394	1.247
2.984	5.319	1.162
3.04	5.191	1.092
3.078	5	1.036
3.095	4.757	1
3.113	4.483	1
3.062	4.286	1.015
2.923	4.144	1.086
2.76	3.931	1.268
2.678	3.701	1.348
2.5	3.571	1.413
2.311	3.553	1.354
2.226	3.52	1.257
2.201	3.467	1.176
2.145	3.378	1.268
2.211	3.3	1.233
2.242	3.284	1.18
2.208	3.31	1.174
2.231	3.262	1.198
2.348	3.147	1.296
2.679	2.969	1.365
3.21	2.783	1.598
3.733	2.51	1.746
4.016	2.356	1.839
4.174	2.363	1.897
4.259	2.379	1.755
4.32	2.342	1.623
4.31	2.341	1.504
4.307	2.307	1.537
4.248	2.202	1.72
4.357	1.903	1.856
4.4	1.621	2.052
4.471	1.417	2.188
4.605	1.304	2.247
4.746	1.289	2.249
4.82	1.355	2.314
5.006	1.471	2.224
5.165	1.655	2.23
5.316	1.861	2.215
5.436	2.056	2.156
5.503	2.176	2.171
5.536	2.19	2.294
5.615	2.215	2.523
5.785	2.29	2.848
5.77	2.383	3.199
5.785	2.43	3.348
5.722	2.393	3.562
5.423	2.33	3.632
5.396	2.15	3.619
5.414	2	3.544
5.436	1.776	3.401
5.535	1.504	3.16
5.547	1.464	3.174
5.394	1.594	3.414
5.233	1.875	3.631
5.131	2.111	3.79
5.097	1.945	3.781
5.06	1.853	3.857
5.018	1.534	3.864
4.824	1.262	3.748
4.585	1.307	3.841
4.524	1.559	3.934
4.532	1.325	3.891
4.523	1.308	3.719
4.408	1.161	3.475
4.447	1.173	3.345
4.54	1	2.988
4.613	1.084	2.761
4.724	1.294	2.64
4.769	1.68	2.774
4.82	2.107	2.863
4.793	2.524	2.985
4.768	2.841	3.124
4.791	2.987	3.186
4.809	2.874	3.051
4.73	2.758	3.047
4.777	2.761	2.949
4.787	2.954	3.081
4.857	3.048	3.189
4.828	3.035	3.294
4.794	2.91	3.264
4.632	2.683	3.228
4.446	2.34	3.026
4.115	2.009	2.87
3.667	1.843	2.756
3.284	1.822	2.821
3.139	1.797	2.911
3.297	1.966	2.987
3.467	1.978	3.212
3.626	1.829	3.462
3.699	1.72	3.719
3.811	1.636	4.004
3.859	1.787	4.054
3.884	1.884	4.168
3.723	2.013	4.184
3.286	2.12	4.351
2.931	2.001	4.12
2.267	1.954	4.106
2.003	2.286	4.063
2.338	2.585	4.102
2.12	2.894	4.226
2.03	2.848	4.282
2.188	2.704	4.081
2.432	2.496	3.949
1.926	2.426	3.783
1.64	2.605	3.67
1.59	3.013	3.423
1.315	3.213	3.394
1.102	3.296	3.6
1	3.194	3.918
1.245	3.133	4.158
1.788	3.103	4.421
2.046	2.93	4.71
2.352	2.831	4.88
2.325	2.746	4.966
2.671	2.742	4.935
3.189	2.905	4.776
3.601	2.946	4.605
3.776	3.116	4.51
3.886	3.314	4.402
4.053	3.555	4.276
4.096	3.948	4.287
4.158	4.107	4.194
4.186	4.091	4.183
4.312	4.015	4.11
4.271	4.059	4.047
4.103	4.212	4.137
4.029	4.346	4.253
4.147	4.069	4.159
4.242	4.092	4.169
4.224	3.961	4.219
4.293	4.086	4.304
4.115	3.994	4.547
3.883	3.994	4.914
3.744	3.908	5.282
3.787	3.557	5.347
3.868	3.472	5.603
3.903	3.425	5.882
4.106	3.317	5.885
4.437	3.116	5.607
4.745	3.044	5.321
4.813	3.013	5.052
4.811	3.092	4.928
4.897	3.032	4.848
4.836	3.152	4.874
4.9	3.208	4.859
4.888	3.252	5.032
5.041	3.37	5.279
4.875	3.36	5.365
4.776	3.208	5.202
4.644	3.241	5.27
4.411	3.399	5.592
4.085	3.647	5.945
3.719	3.835	6.112
3.365	3.948	6.186
2.973	3.948	6.187
2.473	3.894	6.225
2.093	3.791	6.018
1.898	3.653	5.867
1.887	3.477	5.9
2.241	3.43	5.857
2.671	3.665	6.067
3.057	3.815	6.174
3.355	3.893	6.194
3.686	3.951	6.15
3.978	4.042	6.082
4.258	4.133	5.949
4.608	4.162	5.728
4.939	4.149	5.466
5.14	4.016	5.193
5.244	3.921	4.961
5.234	3.81	4.882
5.24	3.957	4.957
5.161	4.24	5.177
4.986	4.439	5.33
4.679	4.518	5.404
4.259	4.611	5.57
3.847	4.665	5.619
3.456	4.688	5.6
3.115	4.709	5.571
2.814	4.797	5.572
2.889	4.669	5.429
2.856	4.78	5.368
2.717	5.075	5.359
2.885	5.099	5.217
3.194	5.097	5.089
3.546	5.197	4.951
3.683	5.203	4.786
3.573	5.139	4.588
3.623	5.094	4.487
4.028	5.081	4.429
4.338	4.995	4.325
4.492	5.001	4.437
4.664	4.994	4.497
4.843	5.058	4.576
4.863	5.081	4.763
4.91	5.197	4.933
4.802	5.261	5.169
4.568	5.259	5.414
4.396	5.324	5.57
4.285	5.372	5.652
4.119	5.362	5.721
4.02	5.201	5.726
4.067	5.326	5.718
